Bedroom,Bathroom,Den,Lat,Long,Price,Address,Postal Code
1,1,0,43.6418064,-79.3789807,2550,"100 Harbour Street, M5J1B7, Toronto, O",M5J
1,1,0,43.6417851,-79.3790058,2550,"88 Harbour St, Toronto, O",M5J
1,1,1,43.6404402,-79.3918535,2550,10,M5V
1,1,1,43.6524331,-79.3888604,2545,"210 Simcoe St, Toronto, O",M5T
1,1,0,43.6680834,-79.3906814,2525,", Toronto m5s 2z1 O",M5S
1,1,0,43.6480053,-79.3968338,2500,"438 Richmond St W, Toronto, O",M5V
1,2,1,43.6402232,-79.395951,2500,"10 Capreol Ct, Toronto, O",M5V
1,2,1,43.6402232,-79.395951,2500,"10 Capreol Ct, Toronto, O",M5V
1,1,0,43.6441737,-79.3894209,2500,"300 Front St W, M5E 0E9, Toronto, O",M5E
2,1,0,43.6469441,-79.3923973,2500,"87 Peter St, Toronto, O",M5V
1,2,1,43.6402232,-79.395951,2500,"10 Capreol Ct, Toronto, O",M5V
1,1,1,43.6618956,-79.3857479,2500,"38 Grenville, TORO",M4Y
1,1,0,43.6648437,-79.3859297,2500,"24 Wellesley St W, Toronto, O",M4Y
1,1,0,43.6441737,-79.3894209,2500,"300 Front St W, M5E 0E9, Toronto, O",M5E
1,1,1,43.6618956,-79.3857479,2500,"38 Grenville, TORO",M4Y
2,1,0,43.6469441,-79.3923973,2500,"87 Peter St, Toronto, O",M5V
1,1,0,43.6648437,-79.3859297,2500,"24 Wellesley St W, Toronto, O",M4Y
1,1,0,43.6676141,-79.3864589,2500,75 St ,M4Y
1,1,0,43.6676141,-79.3864589,2500,75 St ,M4Y
1,1,1,43.6610628,-79.3515415,2500,"85 Hamilton St, Toronto, O",M4M
1,1,0,43.6610628,-79.3515415,2500,"85 Hamilton St, Toronto, O",M4M
1,1,0,43.6418064,-79.3789807,2500,"100 Harbour St, Toronto, O",M5J
1,1,0,43.6515793,-79.39008,2500,"49 McCaul St, Toronto, O",M5T
2,2,0,43.6467641,-79.3922208,2500,", DOW",M5V
